ID,Movie Name,Rating(10),Votes,Genre,Language
tt10178860,Miranda House,3.7,11,Drama            ,marathi
tt7582978,Savaari,7.9,11,Drama            ,malayalam
tt1311089,Seenu Vasanthi Lakshmi,5.3,21,Drama            ,telugu
tt0362111,'Sambandh',6.6,16,"Drama, Family            ",hindi
tt0378645,Ram Ki Ganga,5.7,6,Drama            ,hindi
tt10087544,Govinda,7.0,5,Drama            ,marathi
tt1687850,Apoorvaragam,6.2,264,Drama            ,malayalam
tt3760880,The Chalbaaz,8.4,48,Action            ,hindi
tt8257434,Kaaneen: A Secret Search,8.4,8,Drama            ,assamese
tt5762180,Pushpaka Vimana,7.5,271,"Comedy, Drama, Family            ",kannada
tt0050188,Mother India,8.1,"8,664","Drama, Musical, Family            ",hindi
tt0232735,Suno Baranari,7.7,33,Drama            ,bengali
tt4959068,Emiler Goenda Bahini,8.0,44,"Adventure, Comedy, Family            ",bengali
tt0096355,Uttar Dakshin,4.7,99,"Action, Drama            ",hindi
tt4613550, Dirilis: Ertugrul,8.5,180,"Action, Adventure, Drama            ",urdu
tt7712468,Aapothkalin Trikalika,8.6,7,Drama            ,bengali
tt4219268,Jiban Niye Khela,7.6,19,Drama            ,bengali
tt1445778,Thirumbi Paar,6.3,10,"Comedy, Drama            ",tamil
tt0143202,Dahan,7.4,277,Drama            ,hindi
tt0818603,Hitler,5.5,51,Crime            ,hindi
tt6501286,Hostel Returns,5.9,29,Drama            ,nepali
tt0278426,Dr. Pasupathy,6.8,132,Comedy            ,malayalam
tt1891757,Bol,8.2,"8,624",Drama            ,oriya
tt0359324,Gharana,5.4,67,Drama            ,hindi
tt11354454,Bohomaan,3.8,34,Drama            ,bengali
tt3368222,Angry Indian Goddesses,7.0,"2,701","Comedy, Drama            ",hindi
tt2393902,Thiruthani,1.4,123,"Action, Family            ",tamil
tt0247917,Akkada Ammayi Ikkada Abbayi,5.2,625,"Action, Romance            ",telugu
tt10452806,Atanker Choya,4.6,7,"Adventure, Fantasy, Horror            ",bengali
tt4955826,Babar Naam Gandhiji,7.0,117,Drama            ,bengali
tt0259415,Malapilla,8.3,44,Drama            ,telugu
tt0148706,Saraswatichandra,6.4,124,"Drama, Romance            ",hindi
tt6028966, Coke Studio,9.5,6,Music            ,urdu
tt9179042,Deedan,8.4,29,Drama            ,oriya
tt4171716,Bicycle Dreams,8.7,7,"Adventure, Family            ",nepali
tt3169652,Aa Dinagalu,8.0,260,"Crime, Drama, Romance            ",kannada
tt3952870,Britto,7.5,12,Drama            ,bengali
tt13878800,Pitta Kathalu,5.0,583,"Drama, Romance            ",telugu
tt0368400,Vaalee,7.9,"2,276","Romance, Thriller            ",tamil
tt6861076,Sin Sister,5.3,47,Thriller            ,bengali
tt4483434,Madhu,3.6,5,Romance            ,tamil
tt0050820,Pardesi,7.1,103,"Adventure, Biography, History            ",hindi
tt1579764,Evadi Gola Vadide,6.6,87,"Comedy, Drama, Romance            ",telugu
tt0028815,Duniya Na Mane,6.9,31,Drama            ,hindi
tt6514010,Brij Mohan Amar Rahe,6.8,"2,547","Comedy, Crime, Drama            ",hindi
tt0318586,Ponnumani,6.5,61,Drama            ,tamil
tt5716440,Rudro,6.0,7,Action            ,bengali
tt8377822,Hawaa,7.0,274,Crime            ,telugu
tt3790250,Yeh Ishq Sarfira,5.8,12,"Action, Thriller            ",hindi
tt0424474,Swapner Din,7.3,91,Drama            ,bengali
tt7897324,Laavan Phere,5.4,182,Comedy            ,punjabi
tt1784489,Kaash Mere Hote,5.7,21,Thriller            ,hindi
tt3021806,Time Please,7.1,294,Romance            ,marathi
tt0352460,Janmandharam,4.9,7,"Action, Comedy, Drama            ",malayalam
tt3111680,Pullipulikalum Aattinkuttiyum,5.4,295,Comedy            ,malayalam
tt10319478,Do Bol,8.7,174,"Drama, Romance            ",oriya
tt1211956,Escape Plan,6.7,"229,488","Action, Thriller            ",urdu
tt12492650,Ek,4.5,766,"Action, Drama            ",telugu
tt0156390,Chandrashekhar,5.4,17,Drama            ,bengali
tt5340516,Tharai Thappattai,5.6,500,"Action, Drama, Musical            ",tamil
tt0257357,Aa Okkati Adakku,7.8,276,Comedy            ,telugu
tt4995784,RX Suri,5.8,34,Action            ,kannada
tt0243396,Maan Gaye Ustaad,6.0,16,Drama            ,hindi
tt0234234,Meru Malan,6.8,8,Romance            ,gujarati
tt0231951,Lal Pari,4.6,5,"Adventure, Fantasy            ",hindi
tt9536990,The Mosquito Philosophy,7.2,40,"Comedy, Drama            ",tamil
tt0924234,Khatarnak,3.6,351,"Action, Comedy            ",telugu
tt7172308,Kuldip Patwal: I Didn't Do It!,6.7,609,"Crime, Drama, Mystery            ",hindi
tt0476819,Nehlle Pe Dehlla,3.8,480,"Action, Comedy, Crime            ",hindi
tt0414806,Agar... If,6.4,27,Drama            ,hindi
tt1634331,Jatra: Hyalagaad Re Tyalagaad,6.7,141,"Comedy, Crime, Drama            ",marathi
tt1029115,Ganga Jamuna Ki Lalkaar,5.3,15,Action            ,hindi
tt0187572,Vayyari Bhamulu Vagalamari Bhartulu,5.5,17,"Comedy, Drama            ",telugu
tt0357208,Stumped,2.5,118,"Comedy, Drama, Sport            ",hindi
tt7127980,Je Jon Thake Majhkhane,5.6,7,"Drama, Romance            ",bengali
tt0130731,Gateway of India,7.2,42,"Comedy, Crime, Drama            ",urdu
tt0257808,Janaki Ramudu,5.4,331,"Drama, Romance            ",telugu
tt0150251,Daag: A Poem of Love,7.0,431,"Drama, Music, Romance            ",hindi
tt1330584,Neethodu Kavali,5.5,13,Romance            ,telugu
tt11343634,Khakii,5.2,14,Drama            ,kannada
tt0279021,Chhupa Rustam: A Musical Thriller,4.6,84,"Drama, Musical, Romance            ",hindi
tt5373876,Padma Meghna Jamuna,7.1,14,"Drama, Romance            ",bengali
tt2917786,Thirupathi,6.1,63,"Action, Crime, Drama            ",kannada
tt2006148,Kalicharan,5.3,10,Action            ,hindi
tt0271481,Ee Thanutha Veluppan Kalathu,7.4,385,"Mystery, Thriller            ",malayalam
tt4801682,Tiger,5.8,88,"Action, Crime, Romance            ",telugu
tt0975292,Kharidar,7.6,8,Drama            ,oriya
tt0339350,Manishiko Charithra,7.0,6,Drama            ,telugu
tt0950681,Ab Meri Baari,5.7,7,Action            ,hindi
tt1308655,Neeku Naaku Pellanta,6.7,7,Drama            ,telugu
tt0273406,Aashiq,3.8,398,"Action, Drama, Romance            ",hindi
tt5910902,Mahi NRI,5.9,76,"Comedy, Drama            ",punjabi
tt3110342,Ke Amar Baba,5.6,8,Action            ,bengali
tt0451940,Teen Ekkey,3.3,7,"Action, Comedy, Thriller            ",hindi
tt1954470,Gangs of Wasseypur,8.2,"84,087","Action, Comedy, Crime            ",hindi
tt0111793,Yeh Dillagi,6.0,"4,318","Comedy, Drama, Musical            ",hindi
tt0050828,Payal,6.1,7,"Drama, Family            ",hindi
tt2789850,Ithu Pathiramanal,5.2,24,Thriller            ,malayalam
tt4946192,Happy Ending,8.1,15,Romance            ,telugu
tt2266865,The Kingdom of Mister Edhi,8.7,6,Documentary            ,oriya
tt4270854,Mahajan,7.2,11,"Drama, Family, Music            ",bengali
tt3121618,Zindagi Jalebi,3.7,6,Comedy            ,hindi
tt0358914,Aavida Maa Aavide,6.4,166,"Comedy, Romance            ",telugu
tt3005920,5 Sundarikal,6.8,"1,021","Drama, Romance            ",malayalam
tt0281594,Aniyathi Pravu,7.2,561,"Drama, Romance            ",malayalam
tt0422908,Pammal K. Sambandam,7.1,"1,389",Comedy            ,telugu
tt0271671,Neelagiri,5.1,73,"Action, Crime, Drama            ",malayalam
tt11452752,One Last Shot,8.8,29,"Short, Romance            ",oriya
tt0355506,Guru Sishyan,5.7,21,Comedy            ,malayalam
tt5517824, Madam Secretary,7.3,237,Drama            ,oriya
tt0432004,Pudhiya Mannargal,6.8,81,Drama            ,tamil
tt2777548,Lateef,3.4,124,"Action, Crime, Drama            ",hindi
tt1575685,Subbu,4.4,309,Drama            ,telugu
tt5475136,Ebhabeo Phire Asha Jay,7.0,7,Comedy            ,bengali
tt4033652,Ajeyo,8.4,8,Drama            ,assamese
tt13863720,Honeysuckle,7.7,6,"Drama, Thriller            ",tamil
tt4937070,Mawali Ek Playboy,5.1,12,Action            ,hindi
tt3611266,Bank Chor,5.9,"2,546","Action, Comedy, Crime            ",hindi
tt6571684,Bondhu Amar,7.7,9,Drama            ,bengali
tt2753070,Mysteries Shaque,5.0,5,Thriller            ,hindi
tt1566582,Lek Chalali Sasarla,6.8,5,Drama            ,marathi
tt2821880,Rangeelay,4.9,174,"Action, Comedy, Drama            ",punjabi
tt0085138,Adi Shankaracharya,7.2,236,"Biography, Drama            ",sanskrit
tt3698454,Yaara,6.2,"3,903","Action, Crime, Drama            ",hindi
tt1051252,Poovellam Un Vaasam,6.3,742,Drama            ,tamil
tt0357710,Gora Aur Kala,5.0,101,"Action, Comedy, Drama            ",hindi
tt4272064,Bidhilipi,6.8,40,"Drama, Musical            ",bengali
tt7087934,Ivan Thanthiran,6.3,553,"Action, Comedy            ",tamil
tt6680730,Street Lights,6.6,"1,190","Crime, Thriller            ",malayalam
tt2727028,Total Siyapaa,5.0,"2,861","Comedy, Drama, Romance            ",punjabi
tt5325878,Saarathi,7.2,504,"Action, Drama, Romance            ",kannada
tt8226508,Kottayam,6.9,13,"Crime, Drama, Romance            ",malayalam
tt3727960,Glorious Resolve,8.4,24,"Short, War            ",urdu
tt0178212,Ab Kya Hoga,4.8,24,"Mystery, Thriller            ",hindi
tt1612574,Sanam Hum Aapke Hain...,5.1,11,"Drama, Romance            ",hindi
tt0250012,Swathi Kiranam,8.1,382,"Drama, Musical            ",malayalam
tt4124908, Humsafar,8.8,32,"Drama, Romance            ",urdu
tt0251804,Linga Babu Love Story,5.5,16,"Comedy, Drama            ",telugu
tt1448567,Of the People,3.4,36,Drama            ,malayalam
tt0314004,Dui Duari,7.8,873,"Drama, Mystery            ",bengali
tt7819514,Lalpurja,5.3,19,"Drama, Romance            ",nepali
tt7382730,Luca,7.4,"1,414","Drama, Mystery, Romance            ",malayalam
tt0242556,Ji Chahta Hai,5.9,15,"Drama, Family            ",hindi
tt0255111,Dhadkan,6.5,"6,839","Drama, Romance            ",hindi
tt0293081,Deewaangee,6.5,40,"Action, Crime, Drama            ",hindi
tt0428820,Mera Vachan Geeta Ki Kasam,5.6,10,Action            ,hindi
tt0270299,Daku Hasina,5.5,31,"Action, Drama            ",hindi
tt4995644,Sikandar Sadak Ka,4.2,11,"Action, Drama            ",hindi
tt8506714,Merveilles à Montfermeil,3.9,196,Comedy            ,tamil
tt5068280,Paavada,6.2,"1,307","Comedy, Drama            ",malayalam
tt5054236, Madam Secretary,7.5,322,Drama            ,nepali
tt3822410,Sandamarutham,4.2,83,"Action, Thriller            ",tamil
tt13342406,Aarkkariyam,8.0,33,Drama            ,malayalam
tt0439464,Bewafa Sanam,5.2,101,"Drama, Romance            ",hindi
tt0268614,Samadhi,6.9,33,Drama            ,hindi
tt7770176,Thittivasal,7.1,13,"Action, Drama, Thriller            ",tamil
tt3344870,Asambhava,6.4,12,Drama            ,hindi
tt8302882,Ameerpet 2 America,5.7,14,Romance            ,telugu
tt1858770,Prince Vaali,5.8,11,"Action, Adventure, Fantasy            ",tamil
tt0187214,Kondaveeti Simham,7.4,90,"Action, Drama, Family            ",telugu
tt2004191,Chaappa Kurish,7.1,"1,162",Drama            ,malayalam
tt0273098,Ayal Kadha Ezhuthukayanu,7.0,487,"Comedy, Drama, Romance            ",malayalam
tt2898712,Rangeela Raja,6.1,9,Action            ,hindi
tt3524410,Yeh Hai Bakrapur,3.6,232,"Comedy, Drama            ",hindi
tt1694542,Tanu Weds Manu,6.8,"13,622","Comedy, Drama, Romance            ",hindi
tt11131630,Betabiyan,6.3,10,"Musical, Romance            ",urdu
tt7505152,Thiruttu Payale 2,6.6,733,"Crime, Drama, Thriller            ",tamil
tt3502488,Oru Indian Pranayakatha,6.7,"1,244","Drama, Romance            ",malayalam
tt5581790,Jessie,6.4,18,"Drama, Romance            ",kannada
tt3040964,The Jungle Book,7.4,"261,311","Adventure, Drama, Family            ",kannada
tt7984848,Ta Ta Sarai Bigris Ni Badri,7.7,11,"Comedy, Drama            ",nepali
tt6249904,Jatra,8.1,226,"Action, Comedy, Drama            ",nepali
tt0051747,Howrah Bridge,7.0,195,"Musical, Thriller            ",hindi
tt9319812,Hum Chaar,5.6,276,Drama            ,hindi
tt9220746,LAW,5.0,23,Thriller            ,telugu
tt4723718,Vitamin She,5.7,214,"Comedy, Drama, Family            ",gujarati
tt1764254,When Hainan Meets Teochew,6.7,37,"Comedy, Romance            ",tamil
tt1854518,City of God,7.1,577,Drama            ,tamil
tt7624840,Paharganj,4.5,773,"Crime, Drama, Mystery            ",hindi
tt6745536,Nenorakam,5.4,12,Action            ,telugu
tt0355719,Madamma,3.9,17,"Comedy, Drama            ",malayalam
tt3740152,The System,6.3,230,"Action, Crime, Drama            ",urdu
tt6442354,Bharathi Kannama,7.3,32,Drama            ,tamil
tt0307336,Policena Hendthi,7.4,9,Drama            ,kannada
tt4271820,OK Kanmani,7.4,"5,030",Romance            ,malayalam
tt0250608,Nagina,2.6,23,"Musical, Romance            ",punjabi
tt0149850,Bewaffa Se Waffa,4.9,71,Romance            ,hindi
tt4363004, Dirilis: Ertugrul,8.7,413,"Action, Adventure, Drama            ",oriya
tt2637908,Jotibacha Navas,7.4,8,Drama            ,marathi
tt0355875,Parvathy Parinayam,5.6,34,"Comedy, Romance            ",malayalam
tt8459220,Kaitholachathan,5.6,8,"Drama, Fantasy            ",malayalam
tt1417299,Unnaipol Oruvan,8.0,"5,306","Action, Crime, Drama            ",telugu
tt5456154, Madam Secretary,7.1,257,Drama            ,nepali
tt0095429,Kasam,5.1,51,"Action, Drama, Romance            ",hindi
tt0247680,Sagaai,5.3,16,"Drama, Action, Family            ",hindi
tt7023500,C/o Surya,5.5,197,"Action, Drama            ",tamil
tt2098703,Hero Hitler in Love,4.0,106,"Action, Comedy, Romance            ",punjabi
tt2353801,Apabad,7.5,68,"Comedy, Drama            ",nepali
tt0317355,Dhoondte Reh Jaaoge!,5.0,38,"Comedy, Drama, Family            ",hindi
tt0233270,Babruvahana,8.3,323,"Action, Drama, History            ",kannada
tt0348843,Jism,5.2,"2,048","Drama, Romance, Thriller            ",hindi
tt0257662,Farz Aur Kanoon,5.6,19,"Action, Drama            ",hindi
tt0263985,Sabash Raja,7.3,6,Drama            ,telugu
tt1579669,Pravarakyudu,5.5,55,Family            ,telugu
tt0097409,Ganashatru,7.4,"1,116",Drama            ,bengali
tt1244614,Prema Panjaram,1.0,109,"Drama, Family            ",telugu
tt0086231,Sagara Sangamam,8.8,"2,868","Drama, Music, Romance            ",telugu
tt3402582,Mallepuvvu,1.2,6,Romance            ,telugu
tt2995992,Aaha Kalyanam,6.0,359,"Comedy, Romance            ",telugu
tt1712057,Vaanam,7.2,"1,423","Action, Crime, Drama            ",tamil
tt0277786,Kuppathu Raja,5.9,30,Musical            ,tamil
tt2889234,Theeya Velai Seiyyanum Kumaru,6.1,"1,386",Comedy            ,telugu
tt5525846,Yeh Hai India,5.3,175,"Action, Adventure, Drama            ",hindi
tt2404187,Bloody Isshq,7.3,33,"Drama, Romance            ",hindi
tt6120732,Olappeeppi,7.6,120,Drama            ,malayalam
tt8147262,Made in Bangladesh,7.1,250,Drama            ,bengali
tt0327071,Om Jai Jagadish,5.5,"1,895","Drama, Musical            ",hindi
tt0362055,Pyaar Hi Pyaar Mein,7.2,10,"Drama, Romance            ",urdu
tt0084840,Umbartha,6.7,126,Drama            ,marathi
tt4208620,Kafal pakyo,9.1,21,"Short, Drama            ",nepali
tt2580286,Balukabela.com,5.1,71,Comedy            ,bengali
tt11229134,Durgamati: The Myth,3.8,"4,844","Horror, Thriller            ",hindi
tt1296162,Leelai,6.6,251,"Comedy, Romance            ",tamil
tt0117437,Raja Hindustani,6.2,"7,110","Action, Comedy, Drama            ",hindi
tt9179414,Mahalaya,8.0,336,"Biography, Drama, History            ",bengali
tt4462984,Tujhse He Raabta,6.2,11,"Drama, Romance            ",hindi
tt1319716,It's a Wonderful Afterlife,5.4,"1,453","Comedy, Drama, Fantasy            ",punjabi
tt0237319,Hum To Chalay Susral,2.8,25,"Comedy, Musical            ",urdu
tt8042260,Kanne Kalaimane,6.3,235,"Drama, Romance            ",tamil
tt3416280, Coke Studio,5.8,9,Music            ,urdu
tt0499240,Nisshabd,6.2,8,Drama            ,bengali
tt0246651,Godi Gulabi,6.6,7,Comedy            ,marathi
tt1509733,Aravindhan,5.1,36,Drama            ,tamil
tt7981432,Ippatlo Ramudila Seethala Evaruntarandi Babu,7.9,8,Romance            ,telugu
tt0245222,Lalach,5.8,6,"Action, Crime            ",hindi
tt1667076,F.A.L.T.U,4.6,"2,943","Comedy, Drama            ",punjabi
tt0107199,In Custody,7.1,342,"Comedy, Drama            ",urdu
